treatment_cohort,attention_arm,cost_arm,arm_label,agent_id,persona,sensitivity,treatment_period,never_treated,treatment_period_encoded,sm_variant
3,normal,high,cost_only_15bps,A032,LotterySeeker,high,60,FALSE,60,
4,normal,low,control,A033,PassiveFollower,medium,Inf,TRUE,0,
1,viral,low,viral_5bps,A034,SkepticalContrarian,medium,60,FALSE,60,
2,viral,high,viral_15bps,A035,TechnicalTrader,medium,60,FALSE,60,
2,viral,high,viral_15bps,A036,DividendSeeker,low,60,FALSE,60,
1,viral,low,viral_5bps,A037,SocialMomentum,high,60,FALSE,60,v3
1,viral,low,viral_5bps,A038,LotterySeeker,high,60,FALSE,60,
4,normal,low,control,A039,PassiveFollower,medium,Inf,TRUE,0,
2,viral,high,viral_15bps,A040,SkepticalContrarian,medium,60,FALSE,60,
1,viral,low,viral_5bps,A041,TechnicalTrader,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A042,DividendSeeker,low,60,FALSE,60,
4,normal,low,control,A043,SocialMomentum,high,Inf,TRUE,0,v2
2,viral,high,viral_15bps,A044,LotterySeeker,high,60,FALSE,60,
1,viral,low,viral_5bps,A045,PassiveFollower,medium,60,FALSE,60,
4,normal,low,control,A046,SkepticalContrarian,medium,Inf,TRUE,0,
4,normal,low,control,A047,TechnicalTrader,medium,Inf,TRUE,0,
2,viral,high,viral_15bps,A048,DividendSeeker,low,60,FALSE,60,
2,viral,high,viral_15bps,A049,SocialMomentum,high,60,FALSE,60,v3
2,viral,high,viral_15bps,A050,LotterySeeker,high,60,FALSE,60,
3,normal,high,cost_only_15bps,A051,PassiveFollower,medium,60,FALSE,60,
2,viral,high,viral_15bps,A052,SkepticalContrarian,medium,60,FALSE,60,
4,normal,low,control,A053,TechnicalTrader,medium,Inf,TRUE,0,
1,viral,low,viral_5bps,A054,DividendSeeker,low,60,FALSE,60,
2,viral,high,viral_15bps,A055,SocialMomentum,high,60,FALSE,60,v1
3,normal,high,cost_only_15bps,A056,LotterySeeker,high,60,FALSE,60,
3,normal,high,cost_only_15bps,A057,PassiveFollower,medium,60,FALSE,60,
4,normal,low,control,A058,SkepticalContrarian,medium,Inf,TRUE,0,
1,viral,low,viral_5bps,A059,TechnicalTrader,medium,60,FALSE,60,
4,normal,low,control,A060,DividendSeeker,low,Inf,TRUE,0,
3,normal,high,cost_only_15bps,A061,SocialMomentum,high,60,FALSE,60,v2
2,viral,high,viral_15bps,A062,LotterySeeker,high,60,FALSE,60,
1,viral,low,viral_5bps,A063,PassiveFollower,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A064,SkepticalContrarian,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A065,TechnicalTrader,medium,60,FALSE,60,
1,viral,low,viral_5bps,A066,DividendSeeker,low,60,FALSE,60,
4,normal,low,control,A067,SocialMomentum,high,Inf,TRUE,0,v3
3,normal,high,cost_only_15bps,A068,LotterySeeker,high,60,FALSE,60,
2,viral,high,viral_15bps,A069,PassiveFollower,medium,60,FALSE,60,
1,viral,low,viral_5bps,A070,SkepticalContrarian,medium,60,FALSE,60,
1,viral,low,viral_5bps,A071,TechnicalTrader,medium,60,FALSE,60,
2,viral,high,viral_15bps,A072,DividendSeeker,low,60,FALSE,60,
4,normal,low,control,A073,SocialMomentum,high,Inf,TRUE,0,v1
4,normal,low,control,A074,LotterySeeker,high,Inf,TRUE,0,
4,normal,low,control,A075,PassiveFollower,medium,Inf,TRUE,0,
4,normal,low,control,A076,SkepticalContrarian,medium,Inf,TRUE,0,
3,normal,high,cost_only_15bps,A077,TechnicalTrader,medium,60,FALSE,60,
4,normal,low,control,A078,DividendSeeker,low,Inf,TRUE,0,
3,normal,high,cost_only_15bps,A079,SocialMomentum,high,60,FALSE,60,v3
4,normal,low,control,A080,LotterySeeker,high,Inf,TRUE,0,
1,viral,low,viral_5bps,A081,PassiveFollower,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A082,SkepticalContrarian,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A083,TechnicalTrader,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A084,DividendSeeker,low,60,FALSE,60,
1,viral,low,viral_5bps,A085,SocialMomentum,high,60,FALSE,60,v1
2,viral,high,viral_15bps,A086,LotterySeeker,high,60,FALSE,60,
2,viral,high,viral_15bps,A087,PassiveFollower,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A088,SkepticalContrarian,medium,60,FALSE,60,
4,normal,low,control,A089,TechnicalTrader,medium,Inf,TRUE,0,
4,normal,low,control,A090,DividendSeeker,low,Inf,TRUE,0,
2,viral,high,viral_15bps,A091,SocialMomentum,high,60,FALSE,60,v2
1,viral,low,viral_5bps,A092,LotterySeeker,high,60,FALSE,60,
1,viral,low,viral_5bps,A093,PassiveFollower,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A094,SkepticalContrarian,medium,60,FALSE,60,
1,viral,low,viral_5bps,A095,TechnicalTrader,medium,60,FALSE,60,
1,viral,low,viral_5bps,A096,DividendSeeker,low,60,FALSE,60,
